timestamp,month,day_of_year,hour,weekday,is_weekend,zenith_deg,cloud_cover_pct,temperature_c,relative_humidity,surface_pressure_hpa,ghi,dni,dhi,wind_speed_10m,wind_speed_100m,wind_direction_deg,solar_generation_kw,wind_generation_kw,demand_load_kw
2025-01-01T00:00:00+00:00,1,1,0,2,0,179.18,28.2,14.43,78.2,1011.4,0.0,0.0,0.0,1.84,2.56,191.6,0.0,0.0,33.82
2025-01-01T01:00:00+00:00,1,1,1,2,0,166.22,15.3,13.81,74.3,1009.0,0.0,0.0,0.0,3.54,4.92,151.5,0.0,0.97,30.99
2025-01-01T02:00:00+00:00,1,1,2,2,0,152.51,10.1,14.14,73.8,1008.5,0.0,0.0,0.0,3.03,4.21,173.4,0.0,0.24,33.09
2025-01-01T03:00:00+00:00,1,1,3,2,0,138.88,52.9,11.86,86.0,1009.7,0.0,0.0,0.0,1.61,2.24,174.0,0.0,0.0,31.53
2025-01-01T04:00:00+00:00,1,1,4,2,0,125.38,15.0,15.13,77.4,1008.7,0.0,0.0,0.0,0.68,0.95,181.4,0.0,0.0,32.86
2025-01-01T05:00:00+00:00,1,1,5,2,0,112.08,7.0,15.52,82.7,1010.9,0.0,0.0,0.0,1.45,2.02,200.8,0.0,0.0,32.78
2025-01-01T06:00:00+00:00,1,1,6,2,0,99.09,20.8,14.67,70.3,1009.1,0.0,0.0,0.0,3.8,5.28,159.1,0.0,1.63,31.61
2025-01-01T07:00:00+00:00,1,1,7,2,0,86.56,8.7,17.22,71.9,1010.3,41.7,43.81,39.08,0.81,1.13,201.1,3.98,0.0,33.25
2025-01-01T08:00:00+00:00,1,1,8,2,0,74.75,18.5,18.49,66.1,1009.0,221.86,207.91,167.18,1.65,2.29,209.6,20.63,0.0,36.07
2025-01-01T09:00:00+00:00,1,1,9,2,0,64.06,32.2,17.75,66.2,1010.3,375.52,292.63,247.54,2.38,3.31,201.9,34.37,0.0,42.41
2025-01-01T10:00:00+00:00,1,1,10,2,0,55.17,41.0,20.35,64.6,1008.6,468.79,318.09,287.11,1.66,2.31,204.1,42.0,0.0,49.3
2025-01-01T11:00:00+00:00,1,1,11,2,0,49.06,15.8,21.77,57.9,1008.5,626.19,606.28,228.91,1.2,1.67,177.5,54.69,0.0,59.13
2025-01-01T12:00:00+00:00,1,1,12,2,0,46.85,26.2,23.54,54.9,1009.4,640.9,544.18,268.7,3.67,5.1,179.8,55.47,1.27,66.87
2025-01-01T13:00:00+00:00,1,1,13,2,0,49.06,19.1,25.45,50.0,1005.5,626.18,582.27,244.64,1.6,2.22,192.9,53.87,0.0,73.87
2025-01-01T14:00:00+00:00,1,1,14,2,0,55.17,12.6,25.68,53.7,1008.3,544.03,546.85,231.69,2.28,3.17,185.6,47.26,0.0,74.65
2025-01-01T15:00:00+00:00,1,1,15,2,0,64.06,9.4,25.81,45.6,1007.5,398.04,414.94,216.56,2.1,2.92,186.1,35.2,0.0,76.87
2025-01-01T16:00:00+00:00,1,1,16,2,0,74.75,25.8,23.76,54.1,1009.2,214.52,182.95,166.41,2.06,2.86,170.0,19.56,0.0,74.18
2025-01-01T17:00:00+00:00,1,1,17,2,0,86.56,39.1,22.73,55.1,1008.1,43.5,30.47,41.67,1.92,2.67,204.5,4.06,0.0,70.47
2025-01-01T18:00:00+00:00,1,1,18,2,0,99.09,16.2,22.39,52.8,1007.6,0.0,0.0,0.0,4.61,6.41,195.5,0.0,5.44,71.52
2025-01-01T19:00:00+00:00,1,1,19,2,0,112.08,20.3,21.87,53.9,1008.4,0.0,0.0,0.0,4.59,6.38,197.1,0.0,5.3,70.02
2025-01-01T20:00:00+00:00,1,1,20,2,0,125.38,37.9,18.56,64.3,1009.5,0.0,0.0,0.0,2.97,4.13,201.6,0.0,0.2,67.16
2025-01-01T21:00:00+00:00,1,1,21,2,0,138.88,11.8,20.1,66.0,1009.2,0.0,0.0,0.0,0.5,0.69,202.9,0.0,0.0,56.42
2025-01-01T22:00:00+00:00,1,1,22,2,0,152.51,13.6,19.45,68.0,1007.9,0.0,0.0,0.0,5.03,6.99,199.1,0.0,8.71,44.67
2025-01-01T23:00:00+00:00,1,1,23,2,0,166.22,8.7,17.38,73.0,1009.8,0.0,0.0,0.0,4.08,5.67,204.8,0.0,2.61,38.08
2025-01-02T00:00:00+00:00,1,2,0,3,0,179.1,15.2,14.45,71.2,1009.8,0.0,0.0,0.0,6.22,8.65,198.8,0.0,24.74,34.18
2025-01-02T01:00:00+00:00,1,2,1,3,0,166.21,30.7,15.62,79.4,1008.3,0.0,0.0,0.0,4.56,6.34,191.3,0.0,5.11,30.08
2025-01-02T02:00:00+00:00,1,2,2,3,0,152.5,30.1,12.69,82.6,1010.6,0.0,0.0,0.0,6.74,9.37,190.5,0.0,35.46,31.2
2025-01-02T03:00:00+00:00,1,2,3,3,0,138.86,33.6,13.32,80.7,1009.1,0.0,0.0,0.0,3.23,4.49,181.7,0.0,0.45,32.36
2025-01-02T04:00:00+00:00,1,2,4,3,0,125.36,28.9,12.22,80.7,1010.2,0.0,0.0,0.0,4.71,6.55,169.1,0.0,6.14,33.73
2025-01-02T05:00:00+00:00,1,2,5,3,0,112.05,37.1,12.35,84.5,1011.1,0.0,0.0,0.0,3.91,5.43,179.9,0.0,1.97,33.39
2025-01-02T06:00:00+00:00,1,2,6,3,0,99.06,70.5,12.85,88.1,1011.0,0.0,0.0,0.0,4.18,5.81,205.0,0.0,3.04,31.13
